Species Name,Description
Characidae,"Characidae, the characids, is a family of freshwater subtropical and tropical fish belonging to the order Characiformes. They are found throughout much of Central and South America, including such major waterways as the Amazon and Orinoco Rivers. These fish vary in length; many are less than 3 cm (1.2 in). The name ""characins"" is a historical one, but scientists today tend to prefer ""characids"" to reflect their status as a, by and large, monophyletic group (at family rank). This family includes some of the first characiforms to be described to science, such as Charax and Tetragonopterus, and thus lend their name to the order, as well as to common names such as ""characin"" and ""tetra""."
Chaudhuriidae,"Chaudhuriidae, is a family of small freshwater eel-like fish related to the swamp eels and spiny eels, commonly known as the earthworm eels. The known species are literally the size and shape of earthworms, thus the family name. While one species, Chaudhuria caudata was reported from the Inle Lake by Nelson Annandale in 1918, the others have been only recently reported (since the 1970s), all in the eastern Asia area, from India to Korea. Neither the dorsal nor anal fins have spines, and in Nagaichthys and Pillaia they have fused with the caudal fin; in the other genera, the caudal is small but separate. Their bodies have no scales."
Chaunacidae,"The sea toads and coffinfishes are a family, the Chaunacidae, of deep-sea ray-finned fishes belonging to the monotypic suborder Chaunacoidei within the order Lophiiformes, the anglerfishes. These are bottom-dwelling fishes found on the continental slopes of the Atlantic, Indian, and Pacific Oceans, at depths to at least 2,460 m (8,070 ft). There have also been findings of deep-sea anglerfishes off the coasts of Australia and New Caledonia. Other findings suggest some genera of Chaunacidae are found near volcanic slopes encrusted with manganese. Of the two genera in the family, Chaunacops are typically found at deeper depths than Chaunax, but with considerable overlap between the two genera."
Cheilodactylidae,"Cheilodactylidae, commonly called morwongs but also known as butterfish, fingerfins, jackassfish, sea carp, snappers, and moki, is a family of marine ray-finned fish. They are found in subtropical oceans in the Southern Hemisphere. The common name ""morwong"" is also used as a name for several unrelated fish found in Australian waters, such as the painted sweetlips (Diagramma pictum). The classification of the species within the Cheilodactylidae and the related Latridae is unclear."
Chiasmodontidae,"The Chiasmodontidae, snaketooth fishes or swallowers, are a family of deep-sea predatory ray-finned fishes, part of the order Scombriformes, that are found in all oceans. As suggested by their common name, they are characterized by their ability to engulf prey larger than themselves, due to their highly distensible stomachs."
Chilodontidae,"The ciliates are a group of alveolates characterized by the presence of hair-like organelles called cilia, which are identical in structure to eukaryotic flagella, but are in general shorter and present in much larger numbers, with a different undulating pattern than flagella. Cilia occur in all members of the group (although the peculiar Suctoria only have them for part of their life cycle) and are variously used in swimming, crawling, attachment, feeding, and sensation. Ciliates are an important group of protists, common almost anywhere there is water—in lakes, ponds, oceans, rivers, and wet soils, including anoxic (oxygen-depleted) habitats. About 4,500 unique free-living species have been described, and the potential number of extant species is estimated at 27,000–40,000. Included in this number are many ectosymbiotic and endosymbiotic species, as well as some obligate and opportunistic parasites."
Chimaeridae,"The Chimaeridae, or short-nosed chimaeras, are a family of cartilaginous fish. They resemble other chimaeras in general form and habits, but have short, rounded snouts, without the modifications found in related families. Many species have long, tapering tails, giving them an alternative name of ratfish. Shortnose chimaeras have a venomous spine on their backs, which is sufficiently dangerous to injure humans. They are found in temperate and tropical marine waters worldwide."
Chirocentridae,"Wolf herring are a family (Chirocentridae) of two marine species of ray-finned fish related to herrings. Both species have elongated bodies and jaws with long sharp teeth that aid their ravenous appetites, primarily for other fish. They can grow up to1 m in length and have silvery sides with bluish backs. They are commercially fished and sold fresh or frozen. Wolf Herring tend to stay near coastal waters off Africa and Asia, mostly in the Indian Ocean, but some Wolf Herrings have also been spotted near Australian beaches."
Chironemidae,"Chironemus is a genus of marine ray finned fish, commonly known as kelpfishes, belonging to the family Chironemidae. They are found in the temperate waters of the Southern Pacific Ocean."
Chlamydoselachidae,"Chlamydoselachidae is a family of primitive deep-sea sharks in the order Hexanchiformes. They are one of only two extant families in the order alongside the cow sharks in the family Hexanchidae, and the only members of the suborder Chlamydoselachoidei. They are now represented only by two extant species in the genus Chlamydoselachus: the frilled shark (C. anguineus) and the Southern African frilled shark (C. africana)."
Chlopsidae,"The Chlopsidae, or false morays, are a family of marine ray-finned fishes belonging to the order Anguilliformes, the eels. The eels in this family are found in coral reefs worldwide. As their name suggests, they somewhat resemble moray eels in appearance. However, they are smaller than true morays, ranging from 11 to 42 cm (4.3 to 16.5 in) in length."
Chlorophthalmidae,"Greeneyes are deep-sea aulopiform marine fishes in the small family Chlorophthalmidae. Thought to have a circumglobal distribution in tropical and temperate waters, the family contains just 18 species in two genera. The family name Chlorophthalmidae derives from the Greek words chloros meaning ""green"" and ophthalmos meaning ""eye"". Some species are of interest to commercial and subsistence fisheries; the fish are made into fish meal or sold fresh. The earliest known member of the group is Acrognathus from the Cenomanian."
Cichlidae,"Cichlids ()
are a large, diverse, and widespread family of percomorph fish in the family Cichlidae, order Cichliformes. At least 1,760 species have been scientifically described, making it one of the largest vertebrate families, with only the Cyprinidae being more speciose. New species are discovered annually, and many species remain undescribed. The actual number of species is therefore unknown, with estimates varying between 2,000 and 3,000. They are native to the Neotropics, Africa (including Madagascar), the Middle East, and the Indian subcontinent, although some species have been introduced worldwide."
Cirrhitidae,"Cirrhitidae, the hawkfishes, are a family of marine ray-finned fishes found in tropical seas and which are associated with coral reefs."
Citharidae,"The Citharidae or largescale flounders are a small family of flounders with four genera. Three genera are restricted to the Indo-Pacific, while Citharus is from the Mediterranean and East Atlantic (off northwest Africa). There are a total of seven species. Species reach lengths ranging between 14 and 36 centimetres (5.5 and 14.2 in). Taxa include:

Subfamily Brachypleurinae
Genus Brachypleura
Brachypleura novaezeelandiae – yellow-dabbled flounder
Genus Lepidoblepharon
Lepidoblepharon ophthalmolepis – scale-eyed flounder
Subfamily Citharinae
Genus Citharoides
Citharoides axillaris
Citharoides macrolepidotus – branched ray flounder
Citharoides macrolepis – twospot largescale flounder
Citharoides orbitalis
Genus Citharus
Citharus linguatula – spotted flounder
The extinct genus †Rhombocitharus Schwarzhans, 1994 is known from fossil otoliths from the early-mid Eocene of Denmark, the Oligocene of Germany, and the Oligocene to Miocene of New Zealand."
Citharinidae,"The Citharinidae, the lutefishes, are a small family of characiform fish. They are freshwater fish native to Africa, and are sufficiently abundant to be significant food fishes. They are deep-bodied, silvery fish, measuring up to 84 cm (33 in) in length and weighing up to 18 kg (40 lb). They are filter feeders."
Clariidae,"Airbreathing catfish  comprise the family Clariidae of the order Siluriformes. Sixteen genera and about 117 species of clariid fishes are described; all are freshwater species. Other groups of catfish also breathe air, such as the Callichthyidae and Loricariidae."
Claroteidae,"The Claroteidae are a family of catfish (order Siluriformes) found in Africa. This family was separated from Bagridae. However, the monophyly of the family is sometimes contested. The 9 genera contain 65 known species of claroteids. The family Auchenoglanididae was formerly considered a subfamily of this family."
Clinidae,"Clinidae is a family of marine fish in the order Blenniiformes within the series Ovalentaria, part of the Percomorpha . Temperate blennies, the family ranges from the Atlantic, Pacific, and Indian Oceans, in both the Southern and Northern Hemispheres. The family contains about 86 species in 20 genera, the 60-cm-long giant kelpfish (Heterostichus rostratus) being the largest; most are far smaller. With small cycloid scales, clinoid blennies may have a deep or slender build; some members of the family bear the name ""snake blenny"" and ""eel blenny"" for this reason. Dorsal spines outnumber soft rays;  two spines are in the anal fin."
Clupeidae,"Clupeidae is a family of clupeiform ray-finned fishes, comprising, for instance, the herrings and sprats. Many members of the family have a body protected with shiny cycloid (very smooth and uniform) scales, a single dorsal fin, and a fusiform body for quick, evasive swimming and pursuit of prey composed of small planktonic animals. Due to their small size and position in the lower trophic level of many marine food webs, the levels of methylmercury they bioaccumulate are very low, reducing the risk of mercury poisoning when consumed. The earliest known fossil members of this group are the stem-clupeids Italoclupea and Lecceclupea from the late Campanian/early Maastrichtian of Italy."
Cobitidae,"Cobitidae, also known as the true loaches, is a family of Old World freshwater fish. They occur throughout Eurasia and in Morocco, and inhabit riverine ecosystems. Today, most ""loaches"" are placed in other families (see below). The family includes about 260 described species. New species are being described regularly."
Congridae,"The Congridae are the family of conger and garden eels. Congers are valuable and often large food fishes, while garden eels live in colonies, all protruding from the sea floor after the manner of plants in a garden (thus the name). The family includes over 220 species in 32 genera. The European conger, Conger conger, is the largest of the family and of the Anguilliformes order that includes it; it has been recorded at up to 3 m (9.8 ft) in length and weighing 350 lb (160 kg). Congrids are found in tropical, subtropical and temperate seas around the world."
Coryphaenidae,"Coryphaena is a genus of marine ray-finned fishes known as the dolphinfishes, and is currently the only known genus in the family Coryphaenidae. The generic name is from Greek κορυφή (koryphē, ""crown, top"") and -αινα (-aina, feminine suffix). Species in this genus have compressed heads and single dorsal fins that run the entire length of the fishes' bodies. Dolphinfish are aggressive predatory fish that actively prey upon oceanic forage fishes, while in turn serving as a primary food source for many larger pelagic predators. The dolphinfish can reach up to about 40 kilograms (88 lb), and are some of the fastest-growing species in the ocean."
Cottidae,"The Cottidae are a family of fish in the superfamily Cottoidea, the sculpins. Following major taxonomic revisions, it contains about 118 species in 18 genera, the vast majority of which are either restricted to freshwater habitats or are amphidromous. They are referred to simply as cottids to avoid confusion with sculpins of other families. Cottids are distributed throughout the Northern Hemisphere, especially in boreal and colder temperate climates. They are especially diverse in Lake Baikal and surrounding river basins."
Creediidae,"The sandburrowers or simply burrowers are a family, Creediidae, of ray-finned fishes in the order Acropomatiformes. They are native to coastal waters the Indian and Pacific Oceans. They are very small fishes; with the exception of the larger Donaldson's sandburrower, Limnichthys donaldsoni, most species reach only 3 to 7 cm in length. They live in shallow waters close to the shore, burrowing into sandy areas swept by currents or by surf."
Crenuchidae,"The Crenuchidae, or crenuchids, are a family of freshwater fish of the order Characiformes. The 11 genera include about 115 species, though several species are undescribed. These fish are relatively small (usually under 10 cm (4 in) in  standard length) and originate from eastern Panama and South America. Both subfamilies were previously included in the family Characidae, and were placed in a separate family by Buckup, 1998. Buckup, 1993, revised all genera, except Characidium."
Ctenoluciidae,"Ctenoluciidae the pike-characins, is a small family of freshwater ray-finned fishes belonging to the order Characiformes, the characin-like fishes. The fishes in this genus are found in Panama and South America. The name of the family is derived from its type genus, Ctenolucius, and combines cteno, from the Greek ktenós meaning ""comb"", and the Latin lucius, which means ""pike"". They have elongated, pike-like bodies, and several sharp and conical teeth. They are relatively large, up to 1 m (3.3 ft) in length, predatory fish."
Curimatidae,"The Curimatidae, toothless characins, are a family of freshwater fishes, of the order Characiformes. They originate from southern Costa Rica to northern Argentina. The family has around 105 species, many of them frequently exploited for human consumption. They are closely related to the Prochilodontidae. This family lacks jaw teeth, although they do sometimes have small teeth on their pharyngeal plates."
Cyclopsettidae,"Cyclopsettidae is a family of flatfish primarily native to the coastlines of the Americas, with a few species found off the western coast of Africa. Members of this family were previously placed in Paralichthyidae until a 2019 study, which found this placement to be paraphyletic, and described a new family for them. The closest relatives of the Cyclopsettidae are thought to be the Bothidae, based on both genetic and morphological data. The following genera are placed in this family:

Citharichthys Bleeker, 1862
Cyclopsetta Gill, 1889
Etropus Jordan & Gilbert, 1882
Syacium Ranzani, 1842
Several species are important commercial and game fishes, such as the Pacific sanddab, Citharichthys sordidus. The earliest known fossil remains of the Cyclopsettidae are Late Eocene-aged fossil otoliths assigned to Citharichthys altissimus from Louisiana, USA."
Cyclopteridae,"The Cyclopteridae are a family of marine fishes, commonly known as lumpsuckers or lumpfish, in the order Scorpaeniformes. They are found in the cold waters of the Arctic, North Atlantic, and North Pacific oceans. The greatest number of species are found in the North Pacific. The family name Cyclopteridae derives from the Greek words κύκλος (kyklos), meaning ""circle"", and πτέρυξ (pteryx), meaning ""wing"" or ""fin"", in reference to the circle-shaped pectoral fins of most of the fish in this family."
Cynodontidae,"Cynodontidae, from Ancient Greek κύων (kúōn), meaning ""dog"", and ὀδούς (odoús), meaning ""tooth"", also known as dogtooth characins or vampire tetras, are a family of predatory, characiform freshwater fishes from South America. This group is not very diverse, and includes only three genera and eight species. The largest species in this family ranges up to 117 cm (3.84 ft). They are characterized by an oblique mouth and very long distinct canines, which are used to capture and stab their prey, other fish that can be up to half the length of the cynodontine itself. They are not prized as food fish, but are important in subsistence and commercial fisheries."
Cynoglossidae,"Tonguefishes are flatfish in the family Cynoglossidae. They are distinguished by the presence of a long hook on the snout overhanging the mouth, and the absence of pectoral fins. Their eyes are both on the left side of their bodies, which also lack a pelvic fin. This family has three genera with a total of more than 140 species. The largest reaches a length of 66 cm (26 in), though most species only reach half that size or less."
Cyprinidae,"Cyprinidae is a family of cyprinoid freshwater fishes commonly referred to as the carp family, which includes the carps, barbs, and barbels, among others. These cyprinids also share sister taxa with the danionins and minnows under the suborder Cyprinoidei. Cyprinidae is the largest and most diverse fish family, and the largest family of vertebrates overall, with roughly 1,780 species split into 166 valid genera. Cyprinids range from the 12 mm (0.5 in)-long glassfishes, to the 3 m (9.8 ft) giant barb (Catlocarpio siamensis). The family name is derived from the Greek word kyprînos (κυπρῖνος 'carp')."
Cyprinodontidae,"Pupfish are a group of small killifish belonging to ten genera of the family Cyprinodontidae of ray-finned fish. Pupfish are especially noted for being found in extreme and isolated situations. They are primarily found in North America, South America, and the Caribbean region. As of August 2006, 120 nominal species and 9 subspecies were known. Several pupfish species are extinct and most extant species are listed."
Dactylopteridae,"The flying gurnards are a family, Dactylopteridae, of marine fish notable for their greatly enlarged pectoral fins. As they cannot literally fly or glide in the air (like flying fish), an alternative name preferred by some authors is helmet gurnards. They have been regarded as the only family in the suborder Dactylopteroidei of the Scorpaeniformes. However, more recent molecular classifications put them in the order Syngnathiformes, in the superfamily Centriscoidea. They have been observed to ""walk"" along sandy sea floors while looking for crustaceans, other small invertebrates and small fish by using their pelvic fins."
Dactyloscopidae,"Sand stargazers are blennioids; perciform marine fish of the family Dactyloscopidae. Found in temperate to tropical waters of North and South America; some may also inhabit brackish environments. The giant sand stargazer (Dactylagnus mundus) is the largest at 15 cm in length; all other species are under 10 cm. These blennies are named well: sand stargazers have protruding eyes on the top of their heads, fixed in an upward gaze, and may be on stalks. Their large mouths are also upturned."
Dalatiidae,"The Dalatiidae are the family of kitefin sharks of the order Squaliformes (the term ""kitefin shark"" also refers specifically to the species Dalatias licha). Members of this family are small, under 2 m (6.6 ft) long, and are found worldwide. They have cigar-shaped bodies with narrow heads and rounded snouts. Several species have specialized bioluminescent organs. Though eight genera are in this family, four of them are monotypic."
Danionidae,"The danionins are a group of small, slender ""minnow-type"" freshwater fish nestled in the family Danionidae of the suborder Cyprinoidei. Species of this group are in the genera clades Danio and Devario (which also includes Chela, Laubuka, Microdevario, and Microrasbora genera), based on the latest phylo-genetic research by Fang et al in 2009. They are primarily native to the fresh waters of South and Southeast Asia, with fewer species in Africa. Many species are brightly coloured and are available as aquarium fish worldwide. Fishes of the Danio clade tend to have horizontal striping, rows of spots, or vertical bars, and often have long barbels."
Dasyatidae,"The whiptail stingrays are a family, the Dasyatidae, of rays in the order Myliobatiformes. They are found worldwide in tropical to temperate marine waters, and a number of species have also penetrated into fresh water in Africa, Asia, and Australia. Members of this family have flattened pectoral fin discs that range from oval to diamond-like in shape. Their common name comes from their whip-like tails, which are much longer than the disc and lack dorsal and caudal fins. All whiptail stingrays, except the porcupine ray (Urogymnus asperrimus), have one or more venomous stings near the base of the tail, which is used in defense."
Derichthyidae,"Longneck eels or neck eels are a family, Derichthyidae, of eels. They are pelagic fishes, found in the middle and depths of most oceans. The name comes from Greek deres meaning ""neck"" and ichthys meaning ""fish"". They are distinguished by the presence of a series stripes on the head that form part of the sensory system, but otherwise the two genera of the family are quite different in appearance. Derichthys has a narrow neck and large eyes, while Nessorhamphus' has a long, flattened, snout."
Diceratiidae,"Double anglers or doublespine seadevils comprise the family Diceratiidae, being a small and little known family of rarely encountered marine ray-finned fishes belonging to the order Lophiiformes, the anglerfishes. The two genera and seven species of this family are found in the deeper waters of the tropical and subtropical Atlantic, Indian and Pacific Oceans. They are distinguished from other deep sea anglerfishes by the possession of a second bioluminescent cephalic spine. The fishes in this family were known only from metamorphosed females and the males were not described until 1983."
Dinematichthyidae,"Dinematichthyidae is a family of fishes belonging to the order Ophidiiformes. Genera and species:

Genus Alionematichthys Møller & Schwarzhans, 2008
Alionematichthys ceylonensis Møller & Schwarzhans, 2008
Alionematichthys crassiceps Møller & Schwarzhans, 2008
Alionematichthys minyomma (Sedor & Cohen, 1987)
Alionematichthys phuketensis Møller & Schwarzhans, 2008
Alionematichthys piger (Alcock, 1890)
Alionematichthys plicatosurculus Møller & Schwarzhans, 2008
Alionematichthys riukiuensis (Aoyagi, 1954)
Alionematichthys samoaensis Møller & Schwarzhans, 2008
Alionematichthys shinoharai Møller & Schwarzhans, 2008
Alionematichthys suluensis Møller & Schwarzhans, 2008
Alionematichthys winterbottomi Møller & Schwarzhans, 2008 
Genus Beaglichthys Machida, 1993
Beaglichthys bleekeri Schwarzhans & Møller, 2007
Beaglichthys larsonae Schwarzhans & Møller, 2007
Beaglichthys macrophthalmus Machida, 1993
Genus Brosmolus Machida, 1993
Brosmolus longicaudus Machida, 1993
Genus Brotulinella Schwarzhans, Møller & Nielsen, 2005
Brotulinella taiwanensis Schwarzhans, Møller & Nielsen, 2005
Genus Dactylosurculus Schwarzhans & Møller, 2007
Dactylosurculus gomoni Schwarzhans & Møller, 2007
Genus Dermatopsis Ogilby, 1896
Dermatopsis greenfieldi Moller & Schwarzhans, 2006
Dermatopsis hoesei Moller & Schwarzhans, 2006
Dermatopsis joergennielseni Moller & Schwarzhans, 2006
Dermatopsis macrodon Ogilby, 1896
Genus Dermatopsoides Smith, 1948
Dermatopsoides andersoni Moller & Schwarzhans, 2006
Dermatopsoides kasougae (Smith, 1943)
Dermatopsoides morrisonae Moller & Schwarzhans, 2006
Dermatopsoides talboti Cohen, 1966
Genus Diancistrus Ogilby 1899
Diancistrus alatus Schwarzhans, Møller & Nielsen, 2005
Diancistrus alleni Schwarzhans, Møller & Nielsen, 2005
Diancistrus altidorsalis Schwarzhans, Møller & Nielsen, 2005
Diancistrus atollorum Schwarzhans, Møller & Nielsen, 2005
Diancistrus beateae Schwarzhans, Møller & Nielsen, 2005
Diancistrus brevirostris Schwarzhans, Møller & Nielsen, 2005
Diancistrus eremitus Schwarzhans, Møller & Nielsen, 2005
Diancistrus erythraeus (Fowler, 1946)
Diancistrus fijiensis Schwarzhans, Møller & Nielsen, 2005
Diancistrus fuscus (Fowler, 1946)
Diancistrus jackrandalli Schwarzhans, Møller & Nielsen, 2005
Diancistrus jeffjohnsoni Schwarzhans, Møller & Nielsen, 2005
Diancistrus karinae Schwarzhans, Møller & Nielsen, 2005
Diancistrus katrineae Schwarzhans, Møller & Nielsen, 2005
Diancistrus leisi Schwarzhans, Møller & Nielsen, 2005
Diancistrus longifilis Ogilby, 1899
Diancistrus machidai Schwarzhans, Møller & Nielsen, 2005
Diancistrus manciporus Schwarzhans, Møller & Nielsen, 2005
Diancistrus mcgroutheri Schwarzhans, Møller & Nielsen, 2005
Diancistrus mennei Schwarzhans, Møller & Nielsen, 2005
Diancistrus niger Schwarzhans, Møller & Nielsen, 2005
Diancistrus novaeguineae (Machida, 1996)
Diancistrus pohnpeiensis Schwarzhans, Møller & Nielsen, 2005
Diancistrus robustus Schwarzhans, Møller & Nielsen, 2005
Diancistrus springeri Schwarzhans, Møller & Nielsen, 2005
Diancistrus tongaensis Schwarzhans, Møller & Nielsen, 2005
Diancistrus vietnamensis Schwarzhans, Møller & Nielsen, 2005
Genus Didymothallus Schwarzhans & Møller, 2007
Didymothallus criniceps Schwarzhans & Møller, 2007
Didymothallus mizolepis (Günther, 1867)
Didymothallus nudigena Schwarzhans & Møller, 2011
Didymothallus pruvosti Schwarzhans & Møller, 2007
Genus Dinematichthys Bleeker, 1855
Dinematichthys dasyrhynchus Cohen & Hutchins, 1982
Dinematichthys iluocoeteoides Bleeker, 1855
Dinematichthys indicus Machida, 1994
Dinematichthys megasoma Machida, 1994
Dinematichthys minyomma Sedor & Cohen, 1987
Dinematichthys randalli Machida, 1994
Dinematichthys riukiuensis Aoyagi, 1954
Dinematichthys trilobatus Møller & Schwarzhans, 2008
Genus Dipulus Waite, 1905
Dipulus caecus Waite, 1905
Dipulus hutchinsi Moller & Schwarzhans, 2006
Dipulus multiradiatus (McCulloch & Waite, 1918)
Dipulus norfolkanus Machida, 1993
Genus Eusurculus Schwarzhans & Møller, 2007
Eusurculus andamanensis Schwarzhans & Møller, 2007
Eusurculus pistillum Schwarzhans & Møller, 2007
Eusurculus pristinus Schwarzhans & Møller, 2007
Genus Gunterichthys Dawson, 1966
Gunterichthys bussingi Møller, Schwarzhans & Nielsen, 2004
Gunterichthys coheni Møller, Schwarzhans & Nielsen, 2004
Gunterichthys longipenis Dawson, 1966
Genus Lapitaichthys
Lapitaichthys frickei Schwarzhans & Møller, 2007
Genus Majungaichthys Schwarzhans & Møller, 2007
Majungaichthys agalegae Schwarzhans & Møller, 2011
Majungaichthys simplex Schwarzhans & Møller, 2007
Genus Mascarenichthys Schwarzhans & Møller, 2007
Mascarenichthys heemstrai Schwarzhans & Møller, 2007
Mascarenichthys microphthalmus Schwarzhans & Møller, 2007
Mascarenichthys remotus Schwarzhans & Møller, 2011
Genus Monothrix Ogilby, 1897
Monothrix polylepis Ogilby, 1897
Genus Nielsenichthys Schwarzhans & Møller, 2011
Nielsenichthys pullus Schwarzhans & Møller, 2011
Genus Ogilbia Jordan & Evermann 1898
Ogilbia boehlkei Møller, Schwarzhans & Nielsen, 2005 
Ogilbia boydwalkeri Møller, Schwarzhans & Nielsen, 2005 
Ogilbia cayorum Evermann & Kendall, 1898
Ogilbia cocoensis Møller, Schwarzhans & Nielsen, 2005 
Ogilbia davidsmithi Møller, Schwarzhans & Nielsen, 2005 
Ogilbia deroyi (Poll & van Mol, 1966)
Ogilbia galapagosensis (Poll & LeLeup, 1965)
Ogilbia jeffwilliamsi Møller, Schwarzhans & Nielsen, 2005 
Ogilbia jewettae Møller, Schwarzhans & Nielsen, 2005 
Ogilbia mccoskeri Møller, Schwarzhans & Nielsen, 2005 
Ogilbia nigromarginata Møller, Schwarzhans & Nielsen, 2005 
Ogilbia nudiceps Møller, Schwarzhans & Nielsen, 2005 
Ogilbia robertsoni Møller, Schwarzhans & Nielsen, 2005 
Ogilbia sabaji Møller, Schwarzhans & Nielsen, 2005 
Ogilbia sedorae Møller, Schwarzhans & Nielsen, 2005 
Ogilbia suarezae Møller, Schwarzhans & Nielsen, 2005 
Ogilbia tyleri Møller, Schwarzhans & Nielsen, 2005 
Ogilbia ventralis (Gill, 1863)
Genus Ogilbichthys Møller, Schwarzhans & Nielsen, 2004
Ogilbichthys ferocis Møller, Schwarzhans & Nielsen, 2004
Ogilbichthys haitiensis Møller, Schwarzhans & Nielsen, 2004
Ogilbichthys kakuki Møller, Schwarzhans & Nielsen, 2004
Ogilbichthys longimanus Møller, Schwarzhans & Nielsen, 2004
Ogilbichthys microphthalmus Møller, Schwarzhans & Nielsen, 2004
Ogilbichthys puertoricoensis Møller, Schwarzhans & Nielsen, 2004
Ogilbichthys tobagoensis Møller, Schwarzhans & Nielsen, 2004
Genus Paradiancistrus Schwarzhans, Møller & Nielsen, 2005
Paradiancistrus acutirostris Schwarzhans, Møller & Nielsen, 2005
Paradiancistrus christmasensis Schwarzhans & Møller, 2011
Paradiancistrus cuyoensis Schwarzhans, Møller & Nielsen, 2005
Paradiancistrus lombokensis Schwarzhans & Møller, 2007
Genus Porocephalichthys Møller & Schwarzhans, 2008
Porocephalichthys dasyrhynchus (Cohen & Hutchins, 1982)
Genus Pseudogilbia Møller, Schwarzhans & Nielsen, 2004
Pseudogilbia sanblasensis Møller, Schwarzhans & Nielsen, 2004 
Genus Typhlias Whitley, 1951
Typhlias pearsei Hubbs, 1938
Genus Ungusurculus Schwarzhans & Møller, 2007
Ungusurculus collettei Schwarzhans & Møller, 2007
Ungusurculus komodoensis Schwarzhans & Møller, 2007
Ungusurculus philippinensis Schwarzhans & Møller, 2007
Ungusurculus riauensis Schwarzhans & Møller, 2007
Ungusurculus sundaensis Schwarzhans & Møller, 2007
Ungusurculus williamsis Schwarzhans & Møller, 2007
Genus Zephyrichthys Schwarzhans & Møller, 2007
Zephyrichthys barryi Schwarzhans & Møller, 2007"
Dinolestidae,"The long-finned pike or yellowfin pike (Dinolestes lewini) is a species of acropomatiform ray-finned fish, the only species in the genus Dinolestes, as well as the family Dinolestidae. It is an elongated fish with a pointed snout, and silver in color, similar in appearance to a barracuda, and grows up to 84 cm (33 in) in total length. It is endemic to the coastal waters of southern Australia, including New South Wales, at depths between 5 and 65 m (16 and 213 ft)."
Diodontidae,"Porcupinefishes are medium-to-large fish belonging to the family Diodontidae from the order Tetraodontiformes which are also commonly called blowfishes and, sometimes, balloonfishes and globefishes. The family includes about 18 species. They are sometimes collectively called pufferfishes, not to be confused with the morphologically similar and closely related Tetraodontidae, which are more commonly given this name. They are found in shallow, temperate, and tropical seas worldwide. A few species are found much further out from shore, wherein large schools of thousands of individuals can occur."
Diplomystidae,"Diplomystes is a genus of freshwater ray-finned fishes belonging to the monotypic family Diplomystidae, the velvet catfishes. These are basal catfishes endemic to freshwater habitats in Argentina and Chile in southern South America."
Diretmidae,"Spinyfins are a family, Diretmidae, of trachichthyform fishes. The family name is derived from the type genus, Diretmus, from Greek, di meaning ""two"" and eretmos meaning ""oar"". They are found worldwide in deep waters, as deep as 2,000 m (6,600 ft). As the common name implies, spinyfins have heavy spines along their fins. They have deep, compressed bodies, and almost vertically aligned mouths."
Distichodontidae,"The Distichodontidae are a family of African freshwater fishes of the order Characiformes. Two evolutionary grades are found in this family; micropredators (predators of very small organisms like aquatic insect larvae) and herbivores have a nonprotractile upper jaw and a deep to shallow body, while carnivores have a movable upper jaw and an elongated body. Although the herbivores primarily feed on plant material, these species often have omnivorous tendencies. The carnivores include specialized fish-eaters (genus Mesoborus), fin-eaters (Belonophago, Eugnathichthys and Phago) and species that will feed on both whole fish and fins (Ichthyborus). The fin-eaters attack other fish, even ones that are much larger, where they bite off pieces of fins with their sharp teeth."
Doradidae,"The Doradidae are a family of catfishes also known as thorny catfishes, raphael catfishes  or talking catfishes. These fish are native to South America, primarily the Amazon basin and the Guianas. Doradids are omnivorous."
Drepaneidae,"Drepane is a genus of marine and brackish water ray-finned fishes, known commonly as the sicklefishes. It is the only genus in the monotypic percomorph family Drepaneidae. These fish occur in the Indian and western Pacific Oceans, and in the eastern Atlantic near Africa."
Dussumieriidae,"Dussumieriidae is a family of clupeiform fishes popularly called the ""round herrings"". It is now recognized by FishBase as a family in its own right; it had been considered to be a subfamily of Clupeidae. It contains two extant genera, and some potential fossil genera. Possibly the earliest record of the group is Nardoclupea from the Campanian of Italy. The following genera are known:

Dussumieria Valenciennes, 1847
Etrumeus Bleeker, 1853
†Paretrumeus Daniltshenko, 1980 (Oligocene of North Caucasus, Russia)
†Trollichthys Marramà & Carnevale, 2014 (Early Eocene of Italy)
Putative fossil genera include:

†Nardoclupea Taverne, 2002 (Late Cretaceous of Italy)
†?Portoselvaggioclupea Taverne, 2007 (Late Cretaceous of Italy)
†?Pseudoetringus David, 1946 (Late Eocene of California)"
Echeneidae,"The remora (),  sometimes called suckerfish or sharksucker, is any of a family (Echeneidae) of ray-finned fish in the order Carangiformes. Depending on species, they grow to 30–110 cm (12–43 in) long. Their distinctive first dorsal fins take the form of a modified oval, sucker-like organ with slat-like structures that open and close to create suction and take a firm hold against the skin of larger marine animals. The disk is made up of stout, flexible membranes that can be raised and lowered to generate suction. By sliding backward, the remora can increase the suction, or it can release itself by swimming forward."
Echinorhinidae,"Echinorhinus is the only extant genus in the family Echinorhinidae, either a family within the large order Squaliformes or their own monotypic order Echinorhiniformes. The two extant species possess enlarged denticles forming prominent spines or thorns on their skin."
